index,Date,Company,Open,High,Low,Close,Adj Close,Volume,Year,Quarter
758,2021-01-04,Chevron,85.1500015258789,85.94999694824219,83.88999938964844,84.70999908447266,72.39885711669922,9234900,2021,2021Q1
759,2021-01-05,Chevron,85.48999786376953,89.22000122070312,85.31999969482422,87.0,74.35603332519531,13414800,2021,2021Q1
760,2021-01-06,Chevron,89.0,90.77999877929688,87.81999969482422,89.80000305175781,76.74910736083984,13916800,2021,2021Q1
761,2021-01-07,Chevron,90.38999938964844,90.81999969482422,89.30999755859375,90.22000122070312,77.10807800292969,9286600,2021,2021Q1
762,2021-01-08,Chevron,92.08000183105469,92.43000030517578,90.44999694824219,91.08000183105469,77.84309387207031,11152100,2021,2021Q1
763,2021-01-11,Chevron,89.12000274658203,92.0999984741211,88.56999969482422,91.5999984741211,78.28750610351562,10635000,2021,2021Q1
764,2021-01-12,Chevron,92.66000366210938,93.91999816894531,91.70999908447266,93.33999633789062,79.77462768554688,10923900,2021,2021Q1
765,2021-01-13,Chevron,93.19999694824219,93.5199966430664,91.94000244140625,93.25,79.69770812988281,9723300,2021,2021Q1
766,2021-01-14,Chevron,93.94000244140625,96.31999969482422,93.79000091552734,95.48999786376953,81.61216735839844,13950200,2021,2021Q1
767,2021-01-15,Chevron,94.22000122070312,94.30999755859375,91.70999908447266,92.08999633789062,78.70631408691406,10244600,2021,2021Q1
768,2021-01-19,Chevron,93.5,95.02999877929688,93.29000091552734,94.51000213623047,80.77458953857422,9574800,2021,2021Q1
769,2021-01-20,Chevron,95.0,95.55999755859375,94.30000305175781,95.37999725341797,81.51814270019531,8735400,2021,2021Q1
770,2021-01-21,Chevron,93.86000061035156,94.66000366210938,91.22000122070312,92.01000213623047,78.63793182373047,10393100,2021,2021Q1
771,2021-01-22,Chevron,90.4000015258789,92.02999877929688,89.83000183105469,91.7300033569336,78.39862060546875,7810600,2021,2021Q1
772,2021-01-25,Chevron,90.62000274658203,91.02999877929688,89.33000183105469,90.9000015258789,77.68925476074219,7689400,2021,2021Q1
773,2021-01-26,Chevron,92.19999694824219,92.91000366210938,89.2699966430664,89.36000061035156,76.373046875,7827800,2021,2021Q1
774,2021-01-27,Chevron,87.52999877929688,90.3499984741211,86.75,88.19999694824219,75.38164520263672,10178500,2021,2021Q1
775,2021-01-28,Chevron,88.66999816894531,90.1500015258789,88.25,89.0199966430664,76.08245849609375,8155500,2021,2021Q1
776,2021-01-29,Chevron,86.83000183105469,87.33999633789062,84.91999816894531,85.19999694824219,72.81763458251953,14699800,2021,2021Q1
777,2021-02-01,Chevron,85.98999786376953,87.30000305175781,84.56999969482422,86.41000366210938,73.85179901123047,8073600,2021,2021Q1
778,2021-02-02,Chevron,88.01000213623047,88.37000274658203,86.52999877929688,87.05999755859375,74.40731048583984,9233100,2021,2021Q1
779,2021-02-03,Chevron,87.05000305175781,89.38999938964844,86.88999938964844,88.95999908447266,76.03118896484375,9256500,2021,2021Q1
780,2021-02-04,Chevron,89.51000213623047,89.6500015258789,87.94999694824219,89.0,76.06537628173828,7917600,2021,2021Q1
781,2021-02-05,Chevron,89.94000244140625,90.47000122070312,88.63999938964844,89.26000213623047,76.28760528564453,8017300,2021,2021Q1
782,2021-02-08,Chevron,90.29000091552734,92.04000091552734,90.01000213623047,91.4800033569336,78.18495178222656,9886600,2021,2021Q1
783,2021-02-09,Chevron,91.0999984741211,91.2699966430664,89.80999755859375,90.95999908447266,77.74050903320312,7605500,2021,2021Q1
784,2021-02-10,Chevron,91.37999725341797,92.58999633789062,90.5999984741211,92.5199966430664,79.07380676269531,8778800,2021,2021Q1
785,2021-02-11,Chevron,92.37000274658203,92.44000244140625,90.08000183105469,92.0199966430664,78.64647674560547,8572400,2021,2021Q1
